"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,0.758666260380717,-0.97758772935572,0.758666260380717,-0.758666260380717,-0.97758772935572,-0.758666260380717,0.758666260380717,-0.97758772935572,-1,-0.97758772935572,-0.758666260380717,-0.97758772935572,-0.97758772935572,-1,-0.758666260380717,-0.900553092626274,0.97758772935572,0.758666260380717,0.758666260380717,0.758666260380717,0.900553092626274,-0.758666260380717,0.340233427134666,0.97758772935572,-0.0270118649754913
"CLDN7",0.758666260380717,1,-0.736264710544199,1,-1,-0.736264710544199,-1,1,-0.736264710544199,-0.758666260380717,-0.736264710544199,-1,-0.736264710544199,-0.736264710544199,-0.758666260380717,-1,-0.858103569484153,0.736264710544199,1,1,1,0.858103569484153,-1,0.0989335874445096,0.736264710544199,0.00341758172784852
"FOXC2",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"GRHL2",0.758666260380717,1,-0.736264710544199,1,-1,-0.736264710544199,-1,1,-0.736264710544199,-0.758666260380717,-0.736264710544199,-1,-0.736264710544199,-0.736264710544199,-0.758666260380717,-1,-0.858103569484153,0.736264710544199,1,1,1,0.858103569484153,-1,0.0989335874445096,0.736264710544199,0.00341758172784852
"GSC",-0.758666260380717,-1,0.736264710544199,-1,1,0.736264710544199,1,-1,0.736264710544199,0.758666260380717,0.736264710544199,1,0.736264710544199,0.736264710544199,0.758666260380717,1,0.858103569484153,-0.736264710544199,-1,-1,-1,-0.858103569484153,1,-0.0989335874445096,-0.736264710544199,-0.00341758172784852
"KLF8",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"NP63",-0.758666260380717,-1,0.736264710544199,-1,1,0.736264710544199,1,-1,0.736264710544199,0.758666260380717,0.736264710544199,1,0.736264710544199,0.736264710544199,0.758666260380717,1,0.858103569484153,-0.736264710544199,-1,-1,-1,-0.858103569484153,1,-0.0989335874445096,-0.736264710544199,-0.00341758172784852
"OVOL2",0.758666260380717,1,-0.736264710544199,1,-1,-0.736264710544199,-1,1,-0.736264710544199,-0.758666260380717,-0.736264710544199,-1,-0.736264710544199,-0.736264710544199,-0.758666260380717,-1,-0.858103569484153,0.736264710544199,1,1,1,0.858103569484153,-1,0.0989335874445096,0.736264710544199,0.00341758172784852
"SNAI1",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"SNAI2",-1,-0.758666260380717,0.97758772935572,-0.758666260380717,0.758666260380717,0.97758772935572,0.758666260380717,-0.758666260380717,0.97758772935572,1,0.97758772935572,0.758666260380717,0.97758772935572,0.97758772935572,1,0.758666260380717,0.900553092626274,-0.97758772935572,-0.758666260380717,-0.758666260380717,-0.758666260380717,-0.900553092626274,0.758666260380717,-0.340233427134666,-0.97758772935572,0.0270118649754913
"TCF3",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"TGFbeta",-0.758666260380717,-1,0.736264710544199,-1,1,0.736264710544199,1,-1,0.736264710544199,0.758666260380717,0.736264710544199,1,0.736264710544199,0.736264710544199,0.758666260380717,1,0.858103569484153,-0.736264710544199,-1,-1,-1,-0.858103569484153,1,-0.0989335874445096,-0.736264710544199,-0.00341758172784852
"TWIST1",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"TWIST2",-0.97758772935572,-0.736264710544199,1,-0.736264710544199,0.736264710544199,1,0.736264710544199,-0.736264710544199,1,0.97758772935572,1,0.736264710544199,1,1,0.97758772935572,0.736264710544199,0.878149690315821,-1,-0.736264710544199,-0.736264710544199,-0.736264710544199,-0.878149690315821,0.736264710544199,-0.362635137377026,-1,0.00460084856366875
"VIM",-1,-0.758666260380717,0.97758772935572,-0.758666260380717,0.758666260380717,0.97758772935572,0.758666260380717,-0.758666260380717,0.97758772935572,1,0.97758772935572,0.758666260380717,0.97758772935572,0.97758772935572,1,0.758666260380717,0.900553092626274,-0.97758772935572,-0.758666260380717,-0.758666260380717,-0.758666260380717,-0.900553092626274,0.758666260380717,-0.340233427134666,-0.97758772935572,0.0270118649754913
"ZEB1",-0.758666260380717,-1,0.736264710544199,-1,1,0.736264710544199,1,-1,0.736264710544199,0.758666260380717,0.736264710544199,1,0.736264710544199,0.736264710544199,0.758666260380717,1,0.858103569484153,-0.736264710544199,-1,-1,-1,-0.858103569484153,1,-0.0989335874445096,-0.736264710544199,-0.00341758172784852
"ZEB2",-0.900553092626274,-0.858103569484153,0.878149690315821,-0.858103569484153,0.858103569484153,0.878149690315821,0.858103569484153,-0.858103569484153,0.878149690315821,0.900553092626274,0.878149690315821,0.858103569484153,0.878149690315821,0.878149690315821,0.900553092626274,0.858103569484153,1,-0.878149690315821,-0.858103569484153,-0.858103569484153,-0.858103569484153,-1,0.858103569484153,-0.240819542360039,-0.878149690315821,-0.00521709824925143
"miR101",0.97758772935572,0.736264710544199,-1,0.736264710544199,-0.736264710544199,-1,-0.736264710544199,0.736264710544199,-1,-0.97758772935572,-1,-0.736264710544199,-1,-1,-0.97758772935572,-0.736264710544199,-0.878149690315821,1,0.736264710544199,0.736264710544199,0.736264710544199,0.878149690315821,-0.736264710544199,0.362635137377026,1,-0.00460084856366875
"miR141",0.758666260380717,1,-0.736264710544199,1,-1,-0.736264710544199,-1,1,-0.736264710544199,-0.758666260380717,-0.736264710544199,-1,-0.736264710544199,-0.736264710544199,-0.758666260380717,-1,-0.858103569484153,0.736264710544199,1,1,1,0.858103569484153,-1,0.0989335874445096,0.736264710544199,0.00341758172784852
