"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"CLDN7",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"FOXC2",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"GRHL2",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"GSC",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"KLF8",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"NP63",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"OVOL2",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"SNAI1",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"SNAI2",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"TCF3",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"TGFbeta",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"TWIST1",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"TWIST2",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"VIM",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"ZEB1",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"ZEB2",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"miR101",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR141",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR200a",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR200b",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR200c",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR205",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.373800613251813,-1,0.0229033817472706
"miR30c",0.373800613251813,0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,-0.373800613251813,0.373800613251813,0.373800613251813,0.373800613251813,0.373800613251813,0.373800613251813,-0.373800613251813,1,0.373800613251813,-0.00529759386344839
"miR34a",1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.373800613251813,1,-0.0229033817472706
"miR9",-0.0229033817472706,-0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,-0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,0.0229033817472706,-0.0229033817472706,-0.0229033817472706,-0.0229033817472706,-0.0229033817472706,-0.0229033817472706,0.0229033817472706,-0.00529759386344839,-0.0229033817472706,1
