"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"CLDN7",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"FOXC2",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"GRHL2",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"GSC",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"KLF8",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"NP63",0.00463332017003532,0.00463332017003532,-0.00463332017003532,0.00463332017003532,-0.00463332017003532,-0.00463332017003532,1,-0.335245811587205,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,-0.00463332017003532,0.00463332017003532,0.00463332017003532,0.00463332017003532,0.00463332017003532,0.00463332017003532,0.55865276105553,0.000584204429498643,0.00463332017003532,0.00161867208377924
"OVOL2",0.00878357598217005,0.00878357598217005,-0.00878357598217005,0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.335245811587205,1,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,-0.00878357598217005,0.00878357598217005,0.00878357598217005,0.00878357598217005,0.00878357598217005,0.00878357598217005,-0.113286623844504,0.00685061875338908,0.00878357598217005,-0.00303509857674574
"SNAI1",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"SNAI2",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"TCF3",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"TGFbeta",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"TWIST1",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"TWIST2",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"VIM",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"ZEB1",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"ZEB2",-1,-1,1,-1,1,1,-0.00463332017003532,-0.00878357598217005,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.00401666230914334,-0.262101592034896,-1,-0.0160286680065669
"miR101",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"miR141",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"miR200a",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"miR200b",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"miR200c",1,1,-1,1,-1,-1,0.00463332017003532,0.00878357598217005,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.00401666230914335,0.262101592034895,1,0.0160286680065669
"miR205",0.00401666230914335,0.00401666230914335,-0.00401666230914334,0.00401666230914335,-0.00401666230914334,-0.00401666230914334,0.55865276105553,-0.113286623844504,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,-0.00401666230914334,0.00401666230914335,0.00401666230914335,0.00401666230914335,0.00401666230914335,0.00401666230914335,1,0.00240120796228597,0.00401666230914335,-0.00621197431515034
