"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"ZEB2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR200a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR200c",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.168545860173106,-1,-0.0226912578148794
"miR30c",0.168545860173106,0.168545860173106,-0.168545860173106,0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,-0.168545860173106,0.168545860173106,0.168545860173106,0.168545860173106,0.168545860173106,0.168545860173106,-0.168545860173106,1,0.168545860173106,0.00189503195205407
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.168545860173106,1,0.0226912578148794
"miR9",0.0226912578148794,0.0226912578148794,-0.0226912578148794,0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,-0.0226912578148794,0.0226912578148794,0.0226912578148794,0.0226912578148794,0.0226912578148794,0.0226912578148794,-0.0226912578148794,0.00189503195205407,0.0226912578148794,1
