"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,0.486803479963508,-1,0.486803479963508,-0.486803479963508,-1,0.486803479963508,0.486803479963508,-1,-1,-1,-0.486803479963508,-1,-1,-0.486803479963508,-0.486803479963508,-0.582081294309468,1,0.486803479963508,0.582081294309468,0.486803479963508,0.486803479963508,0.486803479963508,0.119624864000225,1,0.000902724902772795
"CLDN7",0.486803479963508,1,-0.486803479963508,1,-1,-0.486803479963508,1,1,-0.486803479963508,-0.486803479963508,-0.486803479963508,-1,-0.486803479963508,-0.486803479963508,-1,-1,-0.904725983451293,0.486803479963508,1,0.904725983451293,1,1,1,0.0432075712306546,0.486803479963508,0.0261248549735183
"FOXC2",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"GRHL2",0.486803479963508,1,-0.486803479963508,1,-1,-0.486803479963508,1,1,-0.486803479963508,-0.486803479963508,-0.486803479963508,-1,-0.486803479963508,-0.486803479963508,-1,-1,-0.904725983451293,0.486803479963508,1,0.904725983451293,1,1,1,0.0432075712306546,0.486803479963508,0.0261248549735183
"GSC",-0.486803479963508,-1,0.486803479963508,-1,1,0.486803479963508,-1,-1,0.486803479963508,0.486803479963508,0.486803479963508,1,0.486803479963508,0.486803479963508,1,1,0.904725983451293,-0.486803479963508,-1,-0.904725983451293,-1,-1,-1,-0.0432075712306546,-0.486803479963508,-0.0261248549735183
"KLF8",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"NP63",0.486803479963508,1,-0.486803479963508,1,-1,-0.486803479963508,1,1,-0.486803479963508,-0.486803479963508,-0.486803479963508,-1,-0.486803479963508,-0.486803479963508,-1,-1,-0.904725983451293,0.486803479963508,1,0.904725983451293,1,1,1,0.0432075712306546,0.486803479963508,0.0261248549735183
"OVOL2",0.486803479963508,1,-0.486803479963508,1,-1,-0.486803479963508,1,1,-0.486803479963508,-0.486803479963508,-0.486803479963508,-1,-0.486803479963508,-0.486803479963508,-1,-1,-0.904725983451293,0.486803479963508,1,0.904725983451293,1,1,1,0.0432075712306546,0.486803479963508,0.0261248549735183
"SNAI1",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"SNAI2",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"TCF3",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"TGFbeta",-0.486803479963508,-1,0.486803479963508,-1,1,0.486803479963508,-1,-1,0.486803479963508,0.486803479963508,0.486803479963508,1,0.486803479963508,0.486803479963508,1,1,0.904725983451293,-0.486803479963508,-1,-0.904725983451293,-1,-1,-1,-0.0432075712306546,-0.486803479963508,-0.0261248549735183
"TWIST1",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"TWIST2",-1,-0.486803479963508,1,-0.486803479963508,0.486803479963508,1,-0.486803479963508,-0.486803479963508,1,1,1,0.486803479963508,1,1,0.486803479963508,0.486803479963508,0.582081294309468,-1,-0.486803479963508,-0.582081294309468,-0.486803479963508,-0.486803479963508,-0.486803479963508,-0.119624864000225,-1,-0.000902724902772795
"VIM",-0.486803479963508,-1,0.486803479963508,-1,1,0.486803479963508,-1,-1,0.486803479963508,0.486803479963508,0.486803479963508,1,0.486803479963508,0.486803479963508,1,1,0.904725983451293,-0.486803479963508,-1,-0.904725983451293,-1,-1,-1,-0.0432075712306546,-0.486803479963508,-0.0261248549735183
