"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"ZEB2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR200a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR200c",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.158756163161897,-1,-0.0285057432620384
"miR30c",0.158756163161897,0.158756163161897,-0.158756163161897,0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,-0.158756163161897,0.158756163161897,0.158756163161897,0.158756163161897,0.158756163161897,0.158756163161897,-0.158756163161897,1,0.158756163161897,-0.00289392459953398
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.158756163161897,1,0.0285057432620384
"miR9",0.0285057432620384,0.0285057432620384,-0.0285057432620384,0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,-0.0285057432620384,0.0285057432620384,0.0285057432620384,0.0285057432620384,0.0285057432620384,0.0285057432620384,-0.0285057432620384,-0.00289392459953398,0.0285057432620384,1
