"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,-0.000929591100786504,-1,-1,-0.00413632336406664,-0.0021092226991076,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00794949720726556,0.244165786179309,1,0.00874728837484483
"CLDN7",1,1,-1,-0.000929591100786504,-1,-1,-0.00413632336406664,-0.0021092226991076,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00794949720726556,0.244165786179309,1,0.00874728837484483
"FOXC2",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
"GRHL2",-0.000929591100786504,-0.000929591100786504,0.000929591100786504,1,0.000929591100786504,0.000929591100786504,0.56122967062331,-0.112802930018673,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,0.000929591100786504,-0.000929591100786504,-0.000929591100786504,-0.000929591100786504,-0.000929591100786504,-0.000929591100786504,0.559445355610188,0.0126703042025711,-0.000929591100786504,-0.00581904268465906
"GSC",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
"KLF8",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
"NP63",-0.00413632336406664,-0.00413632336406664,0.00413632336406664,0.56122967062331,0.00413632336406664,0.00413632336406664,1,-0.338983770534628,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,0.00413632336406664,-0.00413632336406664,-0.00413632336406664,-0.00413632336406664,-0.00413632336406664,-0.00413632336406664,0.559454011231897,0.00299458449266806,-0.00413632336406664,0.000177338332258151
"OVOL2",-0.0021092226991076,-0.0021092226991076,0.0021092226991076,-0.112802930018673,0.0021092226991076,0.0021092226991076,-0.338983770534628,1,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,0.0021092226991076,-0.0021092226991076,-0.0021092226991076,-0.0021092226991076,-0.0021092226991076,-0.0021092226991076,-0.118616885546688,0.000101109945956292,-0.0021092226991076,-0.00672843368166788
"SNAI1",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
"SNAI2",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
"TCF3",-1,-1,1,0.000929591100786504,1,1,0.00413632336406664,0.0021092226991076,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00794949720726556,-0.244165786179309,-1,-0.00874728837484483
