"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,-0.271959277574919,-1,-1,-0.271358895838964,0.266741096804711,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.265340100683677,0.29866517368409,1,0.0121462108837908
"CLDN7",1,1,-1,-0.271959277574919,-1,-1,-0.271358895838964,0.266741096804711,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.265340100683677,0.29866517368409,1,0.0121462108837908
"FOXC2",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"GRHL2",-0.271959277574919,-0.271959277574919,0.271959277574919,1,0.271959277574919,0.271959277574919,0.475359083906436,0.0617386199191307,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,0.271959277574919,-0.271959277574919,-0.271959277574919,-0.271959277574919,-0.271959277574919,-0.271959277574919,0.504688966813919,-0.0793883404403441,-0.271959277574919,-0.00852849815142977
"GSC",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"KLF8",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"NP63",-0.271358895838964,-0.271358895838964,0.271358895838964,0.475359083906436,0.271358895838964,0.271358895838964,1,-0.335207080756827,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,0.271358895838964,-0.271358895838964,-0.271358895838964,-0.271358895838964,-0.271358895838964,-0.271358895838964,0.526555393262993,-0.0768042386648128,-0.271358895838964,0.00652480053098382
"OVOL2",0.266741096804711,0.266741096804711,-0.266741096804711,0.0617386199191307,-0.266741096804711,-0.266741096804711,-0.335207080756827,1,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,-0.266741096804711,0.266741096804711,0.266741096804711,0.266741096804711,0.266741096804711,0.266741096804711,-0.0561166542370484,0.075801582268087,0.266741096804711,0.00291227462072454
"SNAI1",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"SNAI2",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"TCF3",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"TGFbeta",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
"TWIST1",-1,-1,1,0.271959277574919,1,1,0.271358895838964,-0.266741096804711,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.265340100683677,-0.29866517368409,-1,-0.0121462108837908
