"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,0.483822646249653,-0.985189332406578,0.483822646249653,-0.483822646249653,-0.985189332406578,0.483822646249653,0.483822646249653,-0.985189332406578,-0.950165242255449,-0.950165242255449,-0.483822646249653,-0.950165242255449,-0.950165242255449,-0.950165242255449,-0.483822646249653,-0.72220009048453,0.985189332406578,0.483822646249653,0.483822646249653,0.72220009048453,0.72220009048453,0.483822646249653,0.228661931016163,0.985189332406578,-0.0178776788788136
"CLDN7",0.483822646249653,1,-0.498633777801237,1,-1,-0.498633777801237,1,1,-0.498633777801237,-0.433973010515851,-0.433973010515851,-1,-0.433973010515851,-0.433973010515851,-0.433973010515851,-1,-0.731592682795584,0.498633777801237,1,1,0.731592682795584,0.731592682795584,1,0.0539390819482523,0.498633777801237,0.00757779542459524
"FOXC2",-0.985189332406578,-0.498633777801237,1,-0.498633777801237,0.498633777801236,1,-0.498633777801237,-0.498633777801237,1,0.935354430495554,0.935354430495554,0.498633777801236,0.935354430495554,0.935354430495554,0.935354430495554,0.498633777801236,0.707389086496123,-1,-0.498633777801237,-0.498633777801237,-0.707389086496123,-0.707389086496123,-0.498633777801237,-0.213851413517517,-1,0.00306669862272591
"GRHL2",0.483822646249653,1,-0.498633777801237,1,-1,-0.498633777801237,1,1,-0.498633777801237,-0.433973010515851,-0.433973010515851,-1,-0.433973010515851,-0.433973010515851,-0.433973010515851,-1,-0.731592682795584,0.498633777801237,1,1,0.731592682795584,0.731592682795584,1,0.0539390819482523,0.498633777801237,0.00757779542459524
"GSC",-0.483822646249653,-1,0.498633777801236,-1,1,0.498633777801236,-1,-1,0.498633777801236,0.433973010515851,0.433973010515851,1,0.433973010515851,0.433973010515851,0.433973010515851,1,0.731592682795584,-0.498633777801236,-1,-1,-0.731592682795584,-0.731592682795584,-1,-0.0539390819482523,-0.498633777801236,-0.00757779542459524
"KLF8",-0.985189332406578,-0.498633777801237,1,-0.498633777801237,0.498633777801236,1,-0.498633777801237,-0.498633777801237,1,0.935354430495554,0.935354430495554,0.498633777801236,0.935354430495554,0.935354430495554,0.935354430495554,0.498633777801236,0.707389086496123,-1,-0.498633777801237,-0.498633777801237,-0.707389086496123,-0.707389086496123,-0.498633777801237,-0.213851413517517,-1,0.00306669862272591
"NP63",0.483822646249653,1,-0.498633777801237,1,-1,-0.498633777801237,1,1,-0.498633777801237,-0.433973010515851,-0.433973010515851,-1,-0.433973010515851,-0.433973010515851,-0.433973010515851,-1,-0.731592682795584,0.498633777801237,1,1,0.731592682795584,0.731592682795584,1,0.0539390819482523,0.498633777801237,0.00757779542459524
"OVOL2",0.483822646249653,1,-0.498633777801237,1,-1,-0.498633777801237,1,1,-0.498633777801237,-0.433973010515851,-0.433973010515851,-1,-0.433973010515851,-0.433973010515851,-0.433973010515851,-1,-0.731592682795584,0.498633777801237,1,1,0.731592682795584,0.731592682795584,1,0.0539390819482523,0.498633777801237,0.00757779542459524
"SNAI1",-0.985189332406578,-0.498633777801237,1,-0.498633777801237,0.498633777801236,1,-0.498633777801237,-0.498633777801237,1,0.935354430495554,0.935354430495554,0.498633777801236,0.935354430495554,0.935354430495554,0.935354430495554,0.498633777801236,0.707389086496123,-1,-0.498633777801237,-0.498633777801237,-0.707389086496123,-0.707389086496123,-0.498633777801237,-0.213851413517517,-1,0.00306669862272591
"SNAI2",-0.950165242255449,-0.433973010515851,0.935354430495554,-0.433973010515851,0.433973010515851,0.935354430495554,-0.433973010515851,-0.433973010515851,0.935354430495554,1,1,0.433973010515851,1,1,1,0.433973010515851,0.702377604721544,-0.935354430495554,-0.433973010515851,-0.433973010515851,-0.702377604721544,-0.702377604721544,-0.433973010515851,-0.278499851604263,-0.935354430495554,0.00445354012745508
"TCF3",-0.950165242255449,-0.433973010515851,0.935354430495554,-0.433973010515851,0.433973010515851,0.935354430495554,-0.433973010515851,-0.433973010515851,0.935354430495554,1,1,0.433973010515851,1,1,1,0.433973010515851,0.702377604721544,-0.935354430495554,-0.433973010515851,-0.433973010515851,-0.702377604721544,-0.702377604721544,-0.433973010515851,-0.278499851604263,-0.935354430495554,0.00445354012745508
"TGFbeta",-0.483822646249653,-1,0.498633777801236,-1,1,0.498633777801236,-1,-1,0.498633777801236,0.433973010515851,0.433973010515851,1,0.433973010515851,0.433973010515851,0.433973010515851,1,0.731592682795584,-0.498633777801236,-1,-1,-0.731592682795584,-0.731592682795584,-1,-0.0539390819482523,-0.498633777801236,-0.00757779542459524
"TWIST1",-0.950165242255449,-0.433973010515851,0.935354430495554,-0.433973010515851,0.433973010515851,0.935354430495554,-0.433973010515851,-0.433973010515851,0.935354430495554,1,1,0.433973010515851,1,1,1,0.433973010515851,0.702377604721544,-0.935354430495554,-0.433973010515851,-0.433973010515851,-0.702377604721544,-0.702377604721544,-0.433973010515851,-0.278499851604263,-0.935354430495554,0.00445354012745508
"TWIST2",-0.950165242255449,-0.433973010515851,0.935354430495554,-0.433973010515851,0.433973010515851,0.935354430495554,-0.433973010515851,-0.433973010515851,0.935354430495554,1,1,0.433973010515851,1,1,1,0.433973010515851,0.702377604721544,-0.935354430495554,-0.433973010515851,-0.433973010515851,-0.702377604721544,-0.702377604721544,-0.433973010515851,-0.278499851604263,-0.935354430495554,0.00445354012745508
"VIM",-0.950165242255449,-0.433973010515851,0.935354430495554,-0.433973010515851,0.433973010515851,0.935354430495554,-0.433973010515851,-0.433973010515851,0.935354430495554,1,1,0.433973010515851,1,1,1,0.433973010515851,0.702377604721544,-0.935354430495554,-0.433973010515851,-0.433973010515851,-0.702377604721544,-0.702377604721544,-0.433973010515851,-0.278499851604263,-0.935354430495554,0.00445354012745508
"ZEB1",-0.483822646249653,-1,0.498633777801236,-1,1,0.498633777801236,-1,-1,0.498633777801236,0.433973010515851,0.433973010515851,1,0.433973010515851,0.433973010515851,0.433973010515851,1,0.731592682795584,-0.498633777801236,-1,-1,-0.731592682795584,-0.731592682795584,-1,-0.0539390819482523,-0.498633777801236,-0.00757779542459524
"ZEB2",-0.72220009048453,-0.731592682795584,0.707389086496123,-0.731592682795584,0.731592682795584,0.707389086496123,-0.731592682795584,-0.731592682795584,0.707389086496123,0.702377604721544,0.702377604721544,0.731592682795584,0.702377604721544,0.702377604721544,0.702377604721544,0.731592682795584,1,-0.707389086496123,-0.731592682795584,-0.731592682795584,-1,-1,-0.731592682795584,-0.272699032425024,-0.707389086496123,-0.0634124854407736
"miR101",0.985189332406578,0.498633777801237,-1,0.498633777801237,-0.498633777801236,-1,0.498633777801237,0.498633777801237,-1,-0.935354430495554,-0.935354430495554,-0.498633777801236,-0.935354430495554,-0.935354430495554,-0.935354430495554,-0.498633777801236,-0.707389086496123,1,0.498633777801237,0.498633777801237,0.707389086496123,0.707389086496123,0.498633777801237,0.213851413517517,1,-0.00306669862272591
