"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"ZEB2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR200a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR200c",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.388078728688802,-1,-0.00409787642037574
"miR30c",0.388078728688802,0.388078728688802,-0.388078728688802,0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,-0.388078728688802,0.388078728688802,0.388078728688802,0.388078728688802,0.388078728688802,0.388078728688802,-0.388078728688802,1,0.388078728688802,0.00310424823551887
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.388078728688802,1,0.00409787642037569
"miR9",0.00409787642037569,0.00409787642037569,-0.00409787642037574,0.00409787642037569,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,0.00409787642037569,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,-0.00409787642037574,0.00409787642037569,0.00409787642037569,0.00409787642037569,0.00409787642037569,0.00409787642037569,-0.00409787642037574,0.00310424823551887,0.00409787642037569,1
