"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"ZEB2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR200a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR200c",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.327380104311453,-1,0.0130814709248792
"miR30c",0.327380104311453,0.327380104311453,-0.327380104311453,0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,-0.327380104311453,0.327380104311453,0.327380104311453,0.327380104311453,0.327380104311453,0.327380104311453,-0.327380104311453,1,0.327380104311453,0.000111348113868845
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.327380104311453,1,-0.0130814709248792
"miR9",-0.0130814709248792,-0.0130814709248792,0.0130814709248792,-0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,-0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,0.0130814709248792,-0.0130814709248792,-0.0130814709248792,-0.0130814709248792,-0.0130814709248792,-0.0130814709248792,0.0130814709248792,0.000111348113868845,-0.0130814709248792,1
