"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"CLDN7",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"FOXC2",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"GRHL2",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"GSC",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"KLF8",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"NP63",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"OVOL2",0.0028925581283469,0.0028925581283469,-0.0028925581283469,0.0028925581283469,-0.0028925581283469,-0.0028925581283469,0.0028925581283469,1,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,-0.0028925581283469,0.0028925581283469,0.0028925581283469,0.0028925581283469,0.0028925581283469,0.0028925581283469,0.0028925581283469,0.00448800627734979,0.0028925581283469,-0.00429380901825509
"SNAI1",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"SNAI2",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"TCF3",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"TGFbeta",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"TWIST1",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"TWIST2",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"VIM",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"ZEB1",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"ZEB2",-1,-1,1,-1,1,1,-1,-0.0028925581283469,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.0563117551954499,-1,-0.00911488603489712
"miR101",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR141",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR200a",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR200b",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR200c",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR205",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR30c",0.0563117551954499,0.0563117551954499,-0.0563117551954499,0.0563117551954499,-0.0563117551954499,-0.0563117551954499,0.0563117551954499,0.00448800627734979,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,-0.0563117551954499,0.0563117551954499,0.0563117551954499,0.0563117551954499,0.0563117551954499,0.0563117551954499,0.0563117551954499,1,0.0563117551954499,0.001917433097435
"miR34a",1,1,-1,1,-1,-1,1,0.0028925581283469,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.0563117551954499,1,0.00911488603489712
"miR9",0.00911488603489712,0.00911488603489712,-0.00911488603489712,0.00911488603489712,-0.00911488603489712,-0.00911488603489712,0.00911488603489712,-0.00429380901825509,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,-0.00911488603489712,0.00911488603489712,0.00911488603489712,0.00911488603489712,0.00911488603489712,0.00911488603489712,0.00911488603489712,0.001917433097435,0.00911488603489712,1
