"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,-0.271552366914032,-1,-1,-0.266121215745327,0.264306558693183,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.277762704410724,0.0627176714298853,1,0.070780615261607
"CLDN7",1,1,-1,-0.271552366914032,-1,-1,-0.266121215745327,0.264306558693183,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.277762704410724,0.0627176714298853,1,0.070780615261607
"FOXC2",-1,-1,1,0.271552366914032,1,1,0.266121215745327,-0.264306558693183,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.277762704410724,-0.0627176714298853,-1,-0.070780615261607
"GRHL2",-0.271552366914032,-0.271552366914032,0.271552366914032,1,0.271552366914032,0.271552366914032,0.471735434589133,0.0589512697881726,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,0.271552366914032,-0.271552366914032,-0.271552366914032,-0.271552366914032,-0.271552366914032,-0.271552366914032,0.503460934302056,-0.0181557945805658,-0.271552366914032,-0.0129526330336778
"GSC",-1,-1,1,0.271552366914032,1,1,0.266121215745327,-0.264306558693183,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.277762704410724,-0.0627176714298853,-1,-0.070780615261607
"KLF8",-1,-1,1,0.271552366914032,1,1,0.266121215745327,-0.264306558693183,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.277762704410724,-0.0627176714298853,-1,-0.070780615261607
"NP63",-0.266121215745327,-0.266121215745327,0.266121215745327,0.471735434589133,0.266121215745327,0.266121215745327,1,-0.336384110999558,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,0.266121215745327,-0.266121215745327,-0.266121215745327,-0.266121215745327,-0.266121215745327,-0.266121215745327,0.531757346313089,-0.0171317925470213,-0.266121215745327,-0.0191798683986074
"OVOL2",0.264306558693183,0.264306558693183,-0.264306558693183,0.0589512697881726,-0.264306558693183,-0.264306558693183,-0.336384110999558,1,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,-0.264306558693183,0.264306558693183,0.264306558693183,0.264306558693183,0.264306558693183,0.264306558693183,-0.062088280873968,0.0269508197058266,0.264306558693183,0.0189821939340587
"SNAI1",-1,-1,1,0.271552366914032,1,1,0.266121215745327,-0.264306558693183,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.277762704410724,-0.0627176714298853,-1,-0.070780615261607
"SNAI2",-1,-1,1,0.271552366914032,1,1,0.266121215745327,-0.264306558693183,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.277762704410724,-0.0627176714298853,-1,-0.070780615261607
