"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,-0.0592812917616224,-1,-1,-0.0592812917616224,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.0592812917616224,0.184172363971983,1,-0.0267202465506698
"CLDN7",1,1,-1,-0.0592812917616224,-1,-1,-0.0592812917616224,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.0592812917616224,0.184172363971983,1,-0.0267202465506698
"FOXC2",-1,-1,1,0.0592812917616224,1,1,0.0592812917616224,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.0592812917616224,-0.184172363971983,-1,0.0267202465506698
"GRHL2",-0.0592812917616224,-0.0592812917616224,0.0592812917616224,1,0.0592812917616224,0.0592812917616224,1,-0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,1,0.000914689287756634,-0.0592812917616224,-0.00189852107564012
"GSC",-1,-1,1,0.0592812917616224,1,1,0.0592812917616224,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.0592812917616224,-0.184172363971983,-1,0.0267202465506698
"KLF8",-1,-1,1,0.0592812917616224,1,1,0.0592812917616224,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.0592812917616224,-0.184172363971983,-1,0.0267202465506698
"NP63",-0.0592812917616224,-0.0592812917616224,0.0592812917616224,1,0.0592812917616224,0.0592812917616224,1,-0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,-0.0592812917616224,1,0.000914689287756634,-0.0592812917616224,-0.00189852107564012
"OVOL2",1,1,-1,-0.0592812917616224,-1,-1,-0.0592812917616224,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.0592812917616224,0.184172363971983,1,-0.0267202465506698
"SNAI1",-1,-1,1,0.0592812917616224,1,1,0.0592812917616224,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.0592812917616224,-0.184172363971983,-1,0.0267202465506698
"SNAI2",-1,-1,1,0.0592812917616224,1,1,0.0592812917616224,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.0592812917616224,-0.184172363971983,-1,0.0267202465506698
