"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"ZEB2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR200a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR200c",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-0.276605442586438,-1,-0.225554111241984
"miR30c",0.276605442586438,0.276605442586438,-0.276605442586438,0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,-0.276605442586438,0.276605442586438,0.276605442586438,0.276605442586438,0.276605442586438,0.276605442586438,-0.276605442586438,1,0.276605442586438,-0.000479897613303877
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.276605442586438,1,0.225554111241984
"miR9",0.225554111241984,0.225554111241984,-0.225554111241984,0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,-0.225554111241984,0.225554111241984,0.225554111241984,0.225554111241984,0.225554111241984,0.225554111241984,-0.225554111241984,-0.000479897613303877,0.225554111241984,1
