"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0826426715398546,-1,1
"SNAIL",-0.0826426715398546,1,0.0826426715398547,-0.0826426715398546
"ZEB",-1,0.0826426715398547,1,-1
"miR200",1,-0.0826426715398546,-1,1
