"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0972864568689821,-1,0.0972864568689821
"SNAIL",-0.0972864568689821,1,0.0972864568689821,-1
"ZEB",-1,0.0972864568689821,1,-0.0972864568689821
"miR200",0.0972864568689821,-1,-0.0972864568689821,1
