"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.252537022675029,-1,0.252537022675028
"SNAIL",-0.252537022675029,1,0.252537022675029,-1
"ZEB",-1,0.252537022675029,1,-0.252537022675028
"miR200",0.252537022675028,-1,-0.252537022675028,1
