"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.4142896107214,-1,1
"SNAIL",-0.4142896107214,1,0.4142896107214,-0.4142896107214
"ZEB",-1,0.4142896107214,1,-1
"miR200",1,-0.4142896107214,-1,1
