"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.00211984029538775,-1,1
"SNAIL",0.00211984029538775,1,-0.00211984029538777,0.00211984029538775
"ZEB",-1,-0.00211984029538777,1,-1
"miR200",1,0.00211984029538775,-1,1
