"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.00399683254633431,-1,0.00399683254633431
"SNAIL",-0.00399683254633431,1,0.00399683254633431,-1
"ZEB",-1,0.00399683254633431,1,-0.00399683254633431
"miR200",0.00399683254633431,-1,-0.00399683254633431,1
