"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.168115192544293,-1,1
"SNAIL",-0.168115192544293,1,0.168115192544293,-0.168115192544293
"ZEB",-1,0.168115192544293,1,-1
"miR200",1,-0.168115192544293,-1,1
