"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.247267040474659,-1,1
"SNAIL",-0.247267040474659,1,0.247267040474659,-0.247267040474659
"ZEB",-1,0.247267040474659,1,-1
"miR200",1,-0.247267040474659,-1,1
