"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.161835758769118,-1,0.624234512513993
"SNAIL",-0.161835758769118,1,0.161835758769118,-0.537608382428759
"ZEB",-1,0.161835758769118,1,-0.624234512513993
"miR200",0.624234512513993,-0.537608382428759,-0.624234512513993,1
