"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.256652644856744,-1,1
"SNAIL",-0.256652644856744,1,0.256652644856744,-0.256652644856744
"ZEB",-1,0.256652644856744,1,-1
"miR200",1,-0.256652644856744,-1,1
