"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.248926522814634,-1,0.248926522814634
"SNAIL",-0.248926522814634,1,0.248926522814634,-1
"ZEB",-1,0.248926522814634,1,-0.248926522814634
"miR200",0.248926522814634,-1,-0.248926522814634,1
