"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.259544906752117,-1,0.259544906752117
"SNAIL",-0.259544906752117,1,0.259544906752117,-1
"ZEB",-1,0.259544906752117,1,-0.259544906752117
"miR200",0.259544906752117,-1,-0.259544906752117,1
