"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.186416389569448,-1,0.186416389569448
"SNAIL",-0.186416389569448,1,0.186416389569448,-1
"ZEB",-1,0.186416389569448,1,-0.186416389569448
"miR200",0.186416389569448,-1,-0.186416389569448,1
