"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0837092121581753,-1,1
"SNAIL",-0.0837092121581753,1,0.0837092121581753,-0.0837092121581753
"ZEB",-1,0.0837092121581753,1,-1
"miR200",1,-0.0837092121581753,-1,1
