"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0101673015350493,-1,1
"SNAIL",-0.0101673015350493,1,0.0101673015350493,-0.0101673015350493
"ZEB",-1,0.0101673015350493,1,-1
"miR200",1,-0.0101673015350493,-1,1
