"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.242337899149841,-1,0.242337899149841
"SNAIL",-0.242337899149841,1,0.242337899149841,-1
"ZEB",-1,0.242337899149841,1,-0.242337899149841
"miR200",0.242337899149841,-1,-0.242337899149841,1
