"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.165471473913701,-1,1
"SNAIL",-0.165471473913701,1,0.165471473913701,-0.165471473913701
"ZEB",-1,0.165471473913701,1,-1
"miR200",1,-0.165471473913701,-1,1
