"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.118023795996151,-1,0.625723570909659
"SNAIL",-0.118023795996151,1,0.118023795996151,-0.492300390285412
"ZEB",-1,0.118023795996151,1,-0.625723570909659
"miR200",0.625723570909659,-0.492300390285412,-0.625723570909659,1
