"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.101219476889756,-1,0.101219476889756
"SNAIL",-0.101219476889756,1,0.101219476889756,-1
"ZEB",-1,0.101219476889756,1,-0.101219476889756
"miR200",0.101219476889756,-1,-0.101219476889756,1
