"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.164103434837741,-1,1
"SNAIL",-0.164103434837741,1,0.164103434837741,-0.164103434837741
"ZEB",-1,0.164103434837741,1,-1
"miR200",1,-0.164103434837741,-1,1
