"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.247125590864289,-1,1
"SNAIL",-0.247125590864289,1,0.247125590864289,-0.247125590864289
"ZEB",-1,0.247125590864289,1,-1
"miR200",1,-0.247125590864289,-1,1
