"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.243101506327113,-1,1
"SNAIL",-0.243101506327113,1,0.243101506327113,-0.243101506327113
"ZEB",-1,0.243101506327113,1,-1
"miR200",1,-0.243101506327113,-1,1
