"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.250524085613798,-1,1
"SNAIL",-0.250524085613798,1,0.250524085613798,-0.250524085613798
"ZEB",-1,0.250524085613798,1,-1
"miR200",1,-0.250524085613798,-1,1
