"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.244180931068459,-1,1
"SNAIL",-0.244180931068459,1,0.244180931068459,-0.244180931068459
"ZEB",-1,0.244180931068459,1,-1
"miR200",1,-0.244180931068459,-1,1
