"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.40846122345019,-1,1
"SNAIL",-0.40846122345019,1,0.40846122345019,-0.40846122345019
"ZEB",-1,0.40846122345019,1,-1
"miR200",1,-0.40846122345019,-1,1
