"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.194637346541588,-1,0.194637346541588
"SNAIL",-0.194637346541588,1,0.194637346541588,-1
"ZEB",-1,0.194637346541588,1,-0.194637346541588
"miR200",0.194637346541588,-1,-0.194637346541588,1
