"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.244568658615736,-1,0.620080682376092
"SNAIL",-0.244568658615736,1,0.244568658615736,-0.624485931370057
"ZEB",-1,0.244568658615736,1,-0.620080682376092
"miR200",0.620080682376092,-0.624485931370057,-0.620080682376092,1
