"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.00690541537155579,-1,1
"SNAIL",-0.00690541537155579,1,0.00690541537155577,-0.00690541537155579
"ZEB",-1,0.00690541537155577,1,-1
"miR200",1,-0.00690541537155579,-1,1
