"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",1,0,0.9,-1,-1
"SNAIL",-0.400287412818899,0,-0.332382161722877,0.271703519008306,0.371703519008306
"OCT4",0.9,0,0.8,-0.9,-0.9
"miR200",-1,0,-0.8,0.9,0.9
"miR145",-1,0,-0.9,0.9,0.9
