"","ZEB","miR145","miR200","OCT4"
"ZEB",-0.0719688386501277,-0.031543733262551,-0.00223244196959429,0.0393626633037033
"miR145",-0.0350878072136653,0.0584911154767614,0.111374762929787,-0.143472800458446
"miR200",-0.022933122134186,0.0393626633037033,-9.95196216265561e-05,-0.0287609441059955
"OCT4",0.0393626633037033,-0.139294374993012,-0.175400522533838,0.155083848677223
