"","ZEB","miR200","miR145","OCT4"
"ZEB",-0.0818344684875673,-0.0280146787829314,-0.0280146787829314,0.0287005498391728
"miR145",-0.00842409524292787,0.028952937015138,0.028952937015138,-0.127854035916237
"OCT4",0,-0.145154078859663,-0.145154078859663,0.145154078859663
"miR200",0.0180871001398836,-0.0287005498391728,-0.0287005498391728,0.0272678850827258
