"","ZEB","OCT4","miR200","miR145"
"ZEB",-0.0879095329587458,-0.0203306999849575,0.0076082998567916,0.023485706843668
"miR145",-0.0285437550645677,-0.192490178614581,0.0185657325131009,0.0968857830101849
"miR200",-0.0120120356687052,0.025774826059456,-0.00747112564554332,-0.0203306999849575
"OCT4",0.0203306999849575,0.156314937474435,-0.11457041311169,-0.151051779579698
