"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,ZEB;SNAIL,miR34;ZEB,miR34","P","ZEB,SNAIL,miR34",3
"SNAIL,ZEB;miR34,SNAIL;ZEB,miR34","P","ZEB,SNAIL,miR34",3
"SNAIL,SNAIL","N","SNAIL",1
"ZEB,miR200;SNAIL,miR200;SNAIL,ZEB","N","ZEB,miR200,SNAIL",3
"miR200,ZEB;SNAIL,miR200;SNAIL,ZEB","P","ZEB,miR200,SNAIL",3
"ZEB,miR145;miR145,OCT4;OCT4,miR200;miR200,ZEB","P","ZEB,miR145,OCT4,miR200",4
"miR145,ZEB;miR145,OCT4;OCT4,miR200;miR200,ZEB","P","ZEB,miR145,OCT4,miR200",4
"ZEB,miR145;OCT4,miR145;OCT4,miR200;miR200,ZEB","N","ZEB,miR145,OCT4,miR200",4
"miR145,ZEB;OCT4,miR145;OCT4,miR200;miR200,ZEB","N","ZEB,miR145,OCT4,miR200",4
"ZEB,miR145;miR145,OCT4;OCT4,miR200;ZEB,miR200","N","ZEB,miR145,OCT4,miR200",4
"miR145,ZEB;miR145,OCT4;OCT4,miR200;ZEB,miR200","N","ZEB,miR145,OCT4,miR200",4
"ZEB,miR145;OCT4,miR145;OCT4,miR200;ZEB,miR200","P","ZEB,miR145,OCT4,miR200",4
"miR145,ZEB;OCT4,miR145;OCT4,miR200;ZEB,miR200","P","ZEB,miR145,OCT4,miR200",4
"ZEB,OVOL2;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"ZEB,OVOL2;OVOL2,miR200;ZEB,miR200","P","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;ZEB,miR200","P","ZEB,OVOL2,miR200",3
"OVOL2,OVOL2","N","OVOL2",1
"KEAP1,NRF2;miR200,KEAP1;SNAIL,miR200;NRF2,SNAIL","P","NRF2,KEAP1,miR200,SNAIL",4
"ZEB,Ecad;Ecad,NRF2;NRF2,SNAIL;SNAIL,ZEB","N","ZEB,Ecad,NRF2,SNAIL",4
"Ecad,ZEB;Ecad,NRF2;NRF2,SNAIL;SNAIL,ZEB","N","ZEB,Ecad,NRF2,SNAIL",4
"ZEB,ZEB","N","ZEB",1
