"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.0896002866254915,-1,0.0896002866254915
"SNAIL",-0.0896002866254915,1,0.0896002866254915,-1
"ZEB",-1,0.0896002866254915,1,-0.0896002866254915
"miR200",0.0896002866254915,-1,-0.0896002866254915,1
