"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.00595030933909754,-1,-0.00595030933909752
"SNAIL",0.00595030933909754,1,-0.00595030933909754,-1
"ZEB",-1,-0.00595030933909754,1,0.00595030933909752
"miR200",-0.00595030933909752,-1,0.00595030933909752,1
