"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.0853460541924868,-1,0.293817231076678
"SNAIL",-0.0853460541924868,1,0.0853460541924868,-0.0377078374340482
"ZEB",-1,0.0853460541924868,1,-0.293817231076678
"miR200",0.293817231076678,-0.0377078374340482,-0.293817231076678,1
