"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.248248174224889,-1,0.248248174224889
"SNAIL",-0.248248174224889,1,0.248248174224889,-1
"ZEB",-1,0.248248174224889,1,-0.248248174224889
"miR200",0.248248174224889,-1,-0.248248174224889,1
