"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.122515859698663,-1,-0.256395766469156
"SNAIL",-0.122515859698663,1,0.122515859698663,-0.621080937555704
"ZEB",-1,0.122515859698663,1,0.256395766469156
"miR200",-0.256395766469156,-0.621080937555704,0.256395766469156,1
