"Net","JSD"
"miR200_ZEB_2_0",1
"OVOL2_miR200_2_0",1
"OVOL2_OVOL2_2_0",1
"OVOL2_ZEB_2_0",1
"SNAIL_miR200_2_0",1
"SNAIL_ZEB_1_0",1
"wild",1
"ZEB_miR200_2_0",1
"ZEB_OVOL2_2_0",0.5
"ZEB_ZEB_1_0",1
