"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00458883064795622,-0.00458883064795622,0.00458883064795622
"SNAIL",-0.00458883064795622,1,1,-1
"ZEB",-0.00458883064795622,1,1,-1
"miR200",0.00458883064795622,-1,-1,1
