"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.126124765291022,-1,0.624684880583379
"SNAIL",-0.126124765291022,1,0.126124765291022,-0.501446858590703
"ZEB",-1,0.126124765291022,1,-0.624684880583379
"miR200",0.624684880583379,-0.501446858590703,-0.624684880583379,1
