"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.0798033615886694,-1,0.0798033615886694
"SNAIL",-0.0798033615886694,1,0.0798033615886694,-1
"ZEB",-1,0.0798033615886694,1,-0.0798033615886694
"miR200",0.0798033615886694,-1,-0.0798033615886694,1
