"","OVOL2","KEAP1","ZEB","miR145","GRHL2","Ecad","miR34","NRF2","OCT4","SNAIL","miR200"
"OVOL2",0.261807545196891,0.240747019315322,-0.0902079629780613,0.108006872495579,0.100891266602541,0.100891266602541,0.108596390082322,0.0595836503269542,-0.0947085875692667,-0.089361203913081,-0.242237814582975
"ZEB",-0.149118778390895,-0.128666884070944,-0.0562913224440693,-0.0290441901727169,-0.0255153725782652,-0.0255153725782652,-0.0252655280413155,0.0331126995978369,0.0514122001695929,0.0593958460078619,0.126346505651102
"miR200",0.162154457980221,0.0332431409536283,-0.0349057260507258,0.0572038900223546,0.052358683402319,0.052358683402319,0.0375509209792197,-0.117996873906899,-0.0355592042194066,0.0316492114007084,-0.135703177327707
"miR145",0.181120953977468,0.0338099888765619,-0.0320873287604726,0.0612102200852181,0.0547194795470001,0.0547194795470001,0.0539473338697102,-0.0913382513760767,-0.133118514083869,-0.0203819773534016,-0.0370890877501539
"SNAIL",0.0859252032394256,0.104315490821964,-0.0307340787994817,0.056908887821894,0.0559844876302258,0.0559844876302258,-0.0379779594871035,0.0445584294718645,-0.0258299111811821,-0.0426073930032439,-0.107649888486518
"GRHL2",0.159795160459642,0.125684857927153,-0.0255153725782652,0.0514122001695929,0.0469616274000742,0.0469616274000742,0.0490229464389416,-0.0157049417927281,-0.0249484224653256,-0.0311420179748819,-0.128666884070944
"Ecad",0.162143346548906,0.155270036223469,-0.0241678055901404,0.0518251001447109,0.0480633689237891,0.0480633689237891,0.0518741592428316,-0.103175270610619,-0.0223829232739626,0.0673478844199276,-0.158552164990362
"KEAP1",-0.0885431565087552,-0.103516097117965,0.026208607160642,-0.0625509083048637,-0.0613795586581241,-0.0613795586581241,0.0320399141088796,0.0511032057713141,0.0192993745625325,-0.0643148867629646,0.108183706736069
"OCT4",-0.160091389441516,0.030439330222732,0.0544467813765354,-0.135324873957149,-0.0304695177467219,-0.0304695177467219,-0.0205459865910319,0.181320588673621,0.164520386012532,0.0127304616591304,-0.0331199829033846
"NRF2",-0.0708660199126997,-0.108183706736069,0.0559844876302258,-0.0258299111811821,-0.026208607160642,-0.026208607160642,0.0709370825142447,-0.0203643337813318,0.0625509083048637,-0.0182649205239369,0.104315490821964
"miR34",-0.0708660199126997,-0.108183706736069,0.0559844876302258,-0.0258299111811821,-0.026208607160642,-0.026208607160642,0.0709370825142447,-0.0203643337813318,0.0625509083048637,-0.0182649205239369,0.104315490821964
