"","SNAIL","ZEB","OVOL2","GRHL2","Ecad","OCT4","miR34","miR145","miR200","KEAP1","NRF2"
"ZEB",-0.0814858088310258,-0.0654595556768048,-0.0294932675961654,-0.023561817852764,-0.023561817852764,-0.0165707009593397,-0.0114431383204989,-0.00569909833515976,-0.00475580948791884,0.0157568322442471,0.0563502845474182
"miR34",0.0320612274552641,-0.0420278706375346,0.0319510906071181,0.0274888344336105,0.0274888344336105,0.0371401338143347,-0.0482155467797073,0.0227106036129924,-0.05137987406288,0.0368630333510106,-0.0492805110610146
"OVOL2",0.0756582449428537,-0.0338802394787682,-0.0440077231456517,0.0507073339529215,0.0507073339529215,0.0243495661645063,0.0416089382447776,0.0408883923301531,-0.0573273431281096,0.0740868529164273,-0.0374810789337392
"SNAIL",-0.0717314400542176,-0.0304528501959974,0.0484034890893064,0.0420278706375346,0.0420278706375346,0.0227106036129924,-0.0374845159403756,0.0340936217813276,-0.039871412629682,0.05137987406288,-0.0309228592116763
"KEAP1",0.0271321254971277,-0.0274888344336105,0.0526596369913401,0.045856181372386,0.045856181372386,0.0190419743051322,-0.0346536987916298,0.0371401338143347,-0.0368630333510106,0.0552034388201289,-0.126203587984092
"GRHL2",0.0779375167226631,-0.023561817852764,0.0451355929565329,0.0374198407671517,0.0374198407671517,0.00307417433016339,0.0217268920296978,0.0165707009593397,0.0157568322442471,-0.00205176688477002,-0.0390134822768411
"Ecad",0.0955488653696832,-0.0229295095517019,0.0453799969300518,0.0375922661499424,0.0375922661499424,0.00322080664513046,0.0310900310711019,0.0175337318151985,0.0232613389315825,-0.00873099393032335,-0.137514370543856
"miR200",0.00597582366397216,-0.0224558937069369,0.0453664200423302,0.036889494828412,0.036889494828412,0.00173708023607747,0.0248242538223838,0.015810004983944,0.0192820665939209,-0.10497173827,0.0631323344649525
"OCT4",0.0183489803538502,-0.00161791731195152,0.0013454419977669,0.00234644184961864,0.00234644184961864,-0.0704453264469753,-0.00124018831099112,-0.0697530371177798,-0.0716437064323757,0.0724012821899515,-0.0830978605729425
"miR145",-0.0710530001574891,0.0091707243310883,-0.0328092154607505,-0.0207017366604378,-0.0207017366604378,0.116761118326656,-0.0120511225990718,0.0056080502214641,-0.00104664974514506,-0.0103092117483885,0.0325790222658425
"NRF2",-0.0320612274552641,0.0420278706375346,-0.0319510906071181,-0.0274888344336105,-0.0274888344336105,-0.0371401338143347,0.0482155467797073,-0.0227106036129924,0.05137987406288,-0.0368630333510106,0.0492805110610146
