"","ZEB","OVOL2","miR200","miR145","miR34","GRHL2","Ecad","OCT4","KEAP1","SNAIL","NRF2"
"SNAIL",-0.0768033030762759,0.0733438081005573,0.0889538094860393,0.0916125128558707,0.0935562454081738,0.0851536710239455,0.0851536710239455,-0.0812676852696638,-0.0809120268832933,-0.0933593526020169,0.0111671361387729
"KEAP1",-0.0752612155605189,0.075388331297705,0.0904281321928977,0.0935879153751288,0.0946091893875145,0.0870555436813776,0.0870555436813776,-0.0790173632278895,-0.0792541576525865,0.00843945419729777,-0.0867105543047436
"ZEB",-0.0719797599115029,-0.0198041642473483,-0.0188564332559354,-0.0114509952753707,-0.00941343511352647,-0.00839254170263461,-0.00839254170263461,0.0359537548296767,0.0378797009624044,0.0439648365663324,0.047794070499318
"OVOL2",-0.0271757280014064,-0.039881674661366,-0.0450782306780803,0.0545057764486656,0.0463196392607895,0.0536522580073482,0.0536522580073482,-0.0217297702433739,0.0706127417927283,-0.0318518275433607,-0.0282493183073663
"Ecad",-0.0193396403879235,0.0487195117321922,0.0971031240828576,0.0445812309841248,0.117176554486107,0.0406810461205884,0.0406810461205884,-0.0183771493514718,-0.0766800568453859,0.0466114910061876,-0.112615240835192
"GRHL2",-0.00839254170263461,0.0453150148730413,0.0378797009624044,0.0359537548296767,0.023035467754476,0.0318078217993587,0.0318078217993587,-0.00724055602054667,-0.0154532303741691,-0.0214088883920097,-0.0204998415494599
"miR200",-0.00679125328881854,0.0440342381001499,0.0265718749126342,0.0336940656375596,0.00901098704797777,0.0296035679488714,0.0296035679488714,-0.00568785927603907,-0.104718711325001,-0.0159449828212319,0.0751871433700237
"miR145",-0.00382291736915561,-0.0326480054756859,0.0840373620779283,0.0984755580960014,-0.0137034795966171,-0.0152663168884853,-0.0152663168884853,-0.221739212849879,-0.102235109261908,0.00963365260185991,0.085007524520757
"OCT4",-0.00294771842466535,0.00190754673538682,-0.133417742261791,-0.136371959692778,0.00652630994865127,0.00350011615102833,0.00350011615102833,0.137111993113642,0.134000492844542,0.0219762840802816,-0.121513400397417
"NRF2",0.0851536710239455,-0.0625322319551192,-0.0809120268832933,-0.0812676852696638,-0.0878176203008635,-0.0752612155605189,-0.0752612155605189,0.0935879153751288,0.0904281321928977,0.00290423250087914,0.000403953104525348
"miR34",0.0851536710239455,-0.0625322319551192,-0.0809120268832933,-0.0812676852696638,-0.0878176203008635,-0.0752612155605189,-0.0752612155605189,0.0935879153751288,0.0904281321928977,0.00290423250087914,0.000403953104525348
