"","ZEB","miR200","OVOL2","miR145","miR34","GRHL2","Ecad","OCT4","SNAIL","NRF2","KEAP1"
"ZEB",-0.0623734973090148,-0.0181901134787698,-0.0170798803402248,-0.0103903877620426,-0.00936837388431668,-0.00757720654035613,-0.00757720654035613,0.0453169732040919,0.0499174067061564,0.0524665425234153,0.0544915709065377
"OVOL2",-0.0229204339528244,-0.0345369137961828,-0.0341911539681268,0.0607346319522672,0.0506298470241012,0.0599970827941791,0.0599970827941791,-0.017892263599255,-0.0279777524540692,-0.0214517925858746,0.0791811920072285
"SNAIL",-0.0220634888834876,-0.0225667510490866,0.0557436282517876,0.0496477883318002,0.0785084649316127,0.0489032272318114,0.0489032272318114,-0.01862813686721,-0.0714507936831019,-0.0185111690257729,0.0548844083040243
"KEAP1",-0.0187825474846642,-0.0185408283657981,0.0598580382493249,0.0536712816418984,0.0809820939870201,0.0527873182241288,0.0527873182241288,-0.0142541037277879,0.0319146901117736,-0.113731770260424,0.0592291829155388
"miR145",-0.0120615206483774,0.0589097508025382,0.0558884897564364,0.0535740964712497,0.0373181263745352,0.0478922164771836,0.0478922164771836,-0.112427771454392,-0.0193737910206978,-0.0114271700785855,-0.0159810899765057
"GRHL2",-0.00757720654035613,0.0544915709065377,0.0529819871040455,0.0453169732040919,0.0298431513323879,0.0415054695376502,0.0415054695376502,-0.00631598081242803,-0.018777830734425,-0.0116434583228476,-0.0138052963967337
"miR200",-0.00739872350847165,0.0551238908297266,0.0532267829986588,0.0453742967906925,0.0172842344649681,0.0416091079372202,0.0416091079372202,-0.00601044884654976,-0.0139446343256216,0.0886822327009229,-0.114088186799862
"Ecad",0.0098607637036677,-0.101371007214014,-0.041994064451038,-0.0368457061309798,-0.0310581271428355,-0.0316657017416963,-0.0316657017416963,0.0117572707568301,0.0604318055622011,-0.0974746772434098,0.0751727364174057
"OCT4",0.0453378062593836,-0.115194114039618,-0.0131819365819742,-0.109987090680004,-0.00457817713661245,-0.00614959074421272,-0.00614959074421272,0.155845290727748,0.0530966844334806,-0.0408881478721643,0.162833974179478
"NRF2",0.0489032272318114,0.0548844083040243,-0.0237733048672942,-0.01862813686721,-0.0603944848748208,-0.0187825474846642,-0.0187825474846642,0.0536712816418984,-0.000652029747155136,0.0549210774071777,-0.0185408283657981
"miR34",0.0489032272318114,0.0548844083040243,-0.0237733048672942,-0.01862813686721,-0.0603944848748208,-0.0187825474846642,-0.0187825474846642,0.0536712816418984,-0.000652029747155136,0.0549210774071777,-0.0185408283657981
