"","ZEB","OVOL2","OCT4","miR200","miR34","Ecad","GRHL2","KEAP1","miR145","NRF2","SNAIL"
"ZEB",-0.0892139418977692,-0.0247747291029077,-0.0178812293546723,-0.0121578277357106,-0.0120467125814235,-0.01087681996801,0.01087681996801,0.0134362731460916,0.0176208940427906,0.0297054369275187,0.0357389332131692
"NRF2",-0.0829182496231135,0.0682449348706956,0.0906112972144616,0.102291319927964,0.122581032523696,0.0817771282045108,-0.0817771282045108,-0.10542413357703,-0.0879267334560723,0.00897223065194877,-0.0752420439865893
"miR34",-0.0829182496231135,0.0682449348706956,0.0906112972144616,0.102291319927964,0.122581032523696,0.0817771282045108,-0.0817771282045108,-0.10542413357703,-0.0879267334560723,0.00897223065194877,-0.0752420439865893
"OVOL2",-0.0333256275700369,-0.0578915603252597,0.0324562469143167,-0.0633272609704922,0.0342092291689007,0.0337474932860203,-0.0337474932860203,0.0674601062142717,-0.0343436898170143,-0.0411159906359125,-0.0393468538070227
"miR145",-0.0226662700556926,0.0296698066966878,-0.190689849604125,0.0224603636213675,0.0245473507107117,0.0230111139311709,-0.0230111139311709,-0.0188975768045131,0.0891119669338618,-0.0292271811294647,-0.03286347769899
"miR200",-0.018680726045179,0.0290967346487599,0.0255118289864178,0.0211079895924809,0.0259347411233832,0.0185027996959042,-0.0185027996959042,-0.11926056928043,-0.0258066311586443,0.0705285620060225,-0.0367200904908456
"GRHL2",-0.01087681996801,0.025170737339879,0.0170542363014139,0.0134362731460916,0.0136694870621356,0.0109401511903026,-0.0109401511903026,-0.011005717590536,-0.0178812293546723,-0.0278132893400069,-0.0310716776183518
"Ecad",0.000652667923590313,0.016521694250408,0.00621135729425654,0.0111156113511971,0.00580696497474803,-0.00098376242742155,0.00098376242742155,-0.00994881877166216,-0.00607530287248784,-0.12399519422406,0.069222060009138
"OCT4",0.0219850175098831,-0.0284429455504335,0.147053744629473,-0.119405989542159,-0.0222811221981476,-0.0214326197835201,0.0214326197835201,0.124534194670365,-0.14946482125874,-0.0661368910415632,0.0438832963276235
"KEAP1",0.0817771282045108,-0.0713859136873501,-0.0860100702205965,-0.10542413357703,-0.125838430863061,-0.0839239609635885,0.0839239609635885,0.100756523958925,0.0906112972144616,-0.113827658911632,0.0690975470250769
"SNAIL",0.0823305554285101,-0.0700062759818696,-0.0879267334560723,-0.104266414577419,-0.124700823846419,-0.0829182496231135,0.0829182496231135,0.102291319927964,0.0894024472120975,-0.0120261838246668,-0.029224875524578
