"","miR200","ZEB","miR34","miR145","GRHL2","Ecad","NRF2","OVOL2","OCT4","SNAIL","KEAP1"
"NRF2",0.143751624198498,-0.105196670282343,-0.0174893356125691,0.10722901552466,0.101182221550712,0.101182221550712,0.00888790033837062,-0.0780900492668904,-0.113604854450834,0.0284232056108734,-0.143207426522369
"SNAIL",0.143701448583846,-0.102713023512106,-0.0127148523529772,0.111893457497222,0.105196670282343,0.105196670282343,0.0124847785195718,-0.0831588605032273,-0.10722901552466,-0.0667306081270112,-0.143751624198498
"ZEB",-0.127318121092914,-0.0548865436992559,-0.0502685674172596,-0.0479613502114324,-0.0432537278744837,-0.0432537278744837,0.0298078819607054,0.0419562564049768,0.0512519885536171,0.0922117913926643,0.12720306100598
"miR200",0.136636879208127,-0.0529509003756265,0.0439820823174283,0.0604084430077643,0.0549620072931873,0.0549620072931873,0.0714282538938785,-0.0504022429141472,-0.0559243468091608,-0.0122574222934893,-0.236320999051144
"miR145",0.153121156239008,-0.0518456086409034,0.0607331392640516,0.0629654323913094,0.0553932490584952,0.0553932490584952,-0.0283102887377978,-0.0497598907022336,-0.155453631986724,-0.0916170790725854,-0.15256212411552
"GRHL2",0.12720306100598,-0.0432537278744837,0.0533286564380311,0.0512519885536171,0.0460345442715129,0.0460345442715129,-0.0268514013552182,-0.0458133766330776,-0.04559535606933,-0.0892965970463746,-0.126998812639966
"OVOL2",-0.0402218566170366,-0.042003430620691,0.0510804934658814,0.0469721306726402,0.0461091941382192,0.0461091941382192,-0.0404822848275692,-0.0799355810798471,-0.0392068975432771,-0.080140867567902,0.0404924280001338
"Ecad",0.0812415368093112,-0.0240313874705199,0.125177380109272,0.0313361017023297,0.0253084662710118,0.0253084662710118,-0.12326651870322,-0.0325908668478711,-0.0285878023826018,-0.121067521645468,-0.081065258793698
"OCT4",-0.245109167487188,0.0559977972131744,-0.0483987654109913,-0.156718905592255,-0.0509461600344057,-0.0509461600344057,-0.0659780021526743,0.0437308324247707,0.164954761405098,0.0417465930730959,0.244876067254088
"KEAP1",-0.143207426522369,0.101182221550712,0.0106126057850196,-0.113604854450834,-0.106827596583842,-0.106827596583842,-0.114179771587689,0.0855042201945748,0.102868658131816,-0.036323273132818,0.143254574094269
"miR34",-0.143751624198498,0.105196670282343,0.0174893356125691,-0.10722901552466,-0.101182221550712,-0.101182221550712,-0.00888790033837062,0.0780900492668904,0.113604854450834,-0.0284232056108734,0.143207426522369
