"","NRF2","miR200","ZEB","miR34","miR145","OVOL2","GRHL2","Ecad","OCT4","SNAIL","KEAP1"
"ZEB",-0.13127735517099,-0.125619386944884,-0.0750269638987126,-0.034609214908071,-0.0317750853323019,-0.031464083807274,-0.0246082089937435,0.0246082089937435,0.0324207169057685,0.0947542695309787,0.125945390524531
"SNAIL",-0.0092324677197742,-0.0404272673018223,-0.0369051917292876,-0.0561234614943832,0.0398246156707339,0.0439911669633952,0.0389902285240545,-0.0389902285240545,-0.0357237628713272,-0.0517464129183474,0.0425027131805798
"miR145",0.189518898639581,0.151360873070677,-0.0361614276603709,0.0469839527391688,0.0481383826184046,0.0365497651859383,0.0370542426256503,-0.0370542426256503,-0.146128942294736,-0.107220305026214,-0.150234465060665
"KEAP1",-0.110344771631896,-0.0391934029879044,-0.0356161213078982,-0.0531504838894002,0.0423872336287577,0.0469546502006845,0.0411024716922078,-0.0411024716922078,-0.0314976630766104,0.0523821001505491,0.0446153737564099
"GRHL2",0.130946229343176,0.125945390524531,-0.0246082089937435,0.0353974196558455,0.0324207169057685,0.0322244196222589,0.0251551604589977,-0.0251551604589977,-0.0312960063533371,-0.0935469668219092,-0.125291795753289
"Ecad",0.0231379764099281,0.0970515810011143,-0.0238033758710411,0.0358864743058081,0.0312660543631793,0.0325807771703943,0.0252318121589987,-0.0252318121589987,-0.0284089115060365,0.027520502684056,-0.0955490207727923
"miR200",0.230877530298838,0.128147559299526,-0.0209824437253523,0.0373863958330857,0.0293281455651238,0.0314880559545834,0.0220661769436626,-0.0220661769436626,-0.0271714349367297,-0.0804993849437666,-0.226989332057255
"OCT4",-0.265081014240768,-0.239371444486151,0.0308009112183194,-0.0400198840807088,-0.138379995581748,-0.0321648973597547,-0.0291437180392304,0.0291437180392304,0.141411745402708,0.0960402835578104,0.240653495768202
"OVOL2",0.00685283146360553,0.0393715364247812,0.0374292682759883,-0.0399825834538926,-0.0391853693920512,-0.0746894455729041,-0.0386057388642235,0.0386057388642235,0.0368152926877506,0.0596812434579038,-0.040554623060677
"NRF2",0.00767155832038499,0.0425027131805798,0.0389902285240545,0.0609639818668326,-0.0357237628713272,-0.0392848182065282,-0.0356161213078982,0.0356161213078982,0.0423872336287577,-0.0415110670647963,-0.0391934029879044
"miR34",0.00767155832038499,0.0425027131805798,0.0389902285240545,0.0609639818668326,-0.0357237628713272,-0.0392848182065282,-0.0356161213078982,0.0356161213078982,0.0423872336287577,-0.0415110670647963,-0.0391934029879044
